"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"'n sync",1,1260,,,,,,,,
"'til tuesday",1,1260,,,,,,,,
"(moonguys)",1,1260,,,,,,,,
"100 monkeys",2,840,,,,,,,,
"10cc",5,507,1,1301,1,1982,,,,
"1734 bach",1,1260,,,,,,,,
"1742 handel",1,1260,,,,,,,,
"1762 gluck",1,1260,,,,,,,,
"1863 establishment",1,1260,,,,,,,,
"1990s",1,1260,1,1301,1,1982,1,2135,,
"2ne1",8,408,14,318,3,1021,10,658,18,381
"3108",1,1260,,,,,,,,
"311",2,840,,,,,1,2135,1,2066
"5 seconds of summer",3,679,,,,,,,,
"60 ft. dolls",2,840,,,,,,,,
"7horse",13,316,11,360,5,761,2,1500,1,2066
"883",285,15,112,51,58,105,51,146,48,135
"a flock of seagulls",2,840,,,,,1,2135,2,1439
"a silent film",2,840,3,685,,,1,2135,,
"a state of trance",1,1260,,,,,,,,
"a-ha",18,248,1,1301,8,595,3,1236,8,750
"a$ap rocky",1,1260,,,,,,,,
"aaron lee tasjan",3,679,,,,,,,,
"ab-soul, anderson .paak, james blake",1,1260,,,,,,,,
"abba",151,41,31,178,17,346,19,361,58,107
"abc",3,679,1,1301,2,1292,1,2135,,
"above & beyond",1,1260,,,,,,,,
"above, beyond, richard bedford",3,679,,,,,,,,
"above, beyond, zoë johnston",3,679,1,1301,,,,,,
"abstract vision & andrey pashkov",1,1260,,,,,,,,
"ac/dc",29,181,22,239,10,523,7,821,13,515
"accept",2,840,,,,,,,1,2066
"achim fiedler: lucerne festival strings",2,840,,,4,865,,,,
"acollective",2,840,,,,,,,,
"active bird community",3,679,3,685,2,1292,,,1,2066
"adam & the ants",113,55,77,83,21,287,59,124,45,147
"adam ant",11,348,3,685,4,865,9,707,16,422
"adema",1,1260,2,855,2,1292,,,,
"admiral fallow",1,1260,,,,,,,,
"adrian daniel",1,1260,,,,,,,,
"adrian lux",2,840,,,,,,,,
"adrianne lenker",1,1260,,,1,1982,,,,
"adriano celentano",63,98,13,325,2,1292,4,1081,2,1439
"aerosmith",2,840,5,534,3,1021,1,2135,1,2066
"afi",1,1260,,,,,,,,
"afrojack",3,679,,,,,,,,
"afrojack feat eva simons",1,1260,,,,,,,,
"after the fire",2,840,,,,,,,,
"agar agar",2,840,,,17,346,3,1236,15,450
"agnes obel ",2,840,,,1,1982,,,,
"aisha badru",1,1260,,,,,,,,
"aj tracey & not3s",1,1260,,,,,,,,
"al stewart",1,1260,1,1301,1,1982,,,,
"alabama shakes",1,1260,12,339,,,1,2135,11,611
"alabama thunderpussy",1,1260,,,,,,,,
"alamo race track",1,1260,,,,,1,2135,,
"alan cumming & the kit kat girls",3,679,2,855,1,1982,,,,
"alan cumming;the kit kat club (girls, boys and band)",1,1260,,,,,,,,
"alanis morissette",2,840,,,1,1982,,,,
"alazka",2,840,,,,,,,,
"albert hammond jr",3,679,5,534,3,1021,,,1,2066
"albert hammond jr.",6,463,,,,,,,,
"alchimyst",1,1260,,,,,,,,
"alcian blue",2,840,,,,,,,,
"alejandro paz",1,1260,1,1301,,,,,,
"alesso | sandro silva & quintino",2,840,,,,,,,,
"alex clare",3,679,,,,,,,,
"alex lahey",1,1260,,,,,1,2135,,
"alex the astronaut",2,840,,,,,,,1,2066
"alexalone",1,1260,,,,,,,1,2066
"alexander f",2,840,,,,,,,,
"alice cooper",28,187,14,318,6,685,9,707,2,1439
"alice in chains",2,840,,,,,,,,
"all mankind",1,1260,,,,,,,,
"all our exes live in texas",17,258,2,855,2,1292,,,1,2066
"all saints",1,1260,,,1,1982,,,,
"all-american rejects",10,362,1,1301,3,1021,4,1081,1,2066
"allie x",7,436,2,855,1,1982,1,2135,,
"allison crutchfield",1,1260,,,,,,,,
"alone in the universe",2,840,,,2,1292,,,,
"alpha 9",2,840,,,,,,,,
"alphaville",11,348,,,,,1,2135,1,2066
"alsarah & the nubatones",2,840,,,,,,,,
"alt-j",37,146,34,162,4,865,15,446,15,450
"althea & donna",1,1260,,,,,,,,
"alvaro soler",1,1260,5,534,,,,,1,2066
"alvin stardust",2,840,2,855,1,1982,1,2135,,
"alvvays",3,679,2,855,,,,,4,1038
