"artist_name","artist_uri","album_uri","album_name","album_img","album_type","is_collaboration","album_release_date","album_release_year","album_popularity","track_name","track_uri","track_number","disc_number","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","track_preview_url","track_open_spotify_url","artist"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","5d8H2hGGnxAh8sKrK7D7F6","The Good, The Bad and The Queen","https://i.scdn.co/image/d436a86cb75c88bd255002669e34d8f45c8c96d9","album",FALSE,"2007-01-22",2007-01-22,55,"Green Fields","5tjHC6InhhtXQKCLcze6BN",11,1,0.251,0.498,"G",-8.995,"minor",0.0272,0.253,0.00132,0.101,0.352,88.838,150000,4,"G minor",37,"https://p.scdn.co/mp3-preview/28adc8e7deda27d7f9ced3820c001a713500a917?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/5tjHC6InhhtXQKCLcze6BN","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","5d8H2hGGnxAh8sKrK7D7F6","The Good, The Bad and The Queen","https://i.scdn.co/image/d436a86cb75c88bd255002669e34d8f45c8c96d9","album",FALSE,"2007-01-22",2007-01-22,55,"Nature Springs","7bQsZ6CHzoGeBzmoYOrdyL",8,1,0.541,0.534,"G",-11.397,"major",0.0438,0.083,0.419,0.0945,0.419,83.635,190040,4,"G major",37,"https://p.scdn.co/mp3-preview/48bf41cbb869a633af0385c19503836b39b2d4b6?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/7bQsZ6CHzoGeBzmoYOrdyL","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","5d8H2hGGnxAh8sKrK7D7F6","The Good, The Bad and The Queen","https://i.scdn.co/image/d436a86cb75c88bd255002669e34d8f45c8c96d9","album",FALSE,"2007-01-22",2007-01-22,55,"Behind The Sun","53pygCy9jXomVw03qvx7WD",6,1,0.518,0.513,"E",-9.394,"minor",0.047,0.103,1.33e-05,0.178,0.428,117.68,158433,4,"E minor",35,"https://p.scdn.co/mp3-preview/30ad6d47aba80cdcf6b288440d2e50ba4700efb5?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/53pygCy9jXomVw03qvx7WD","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","5d8H2hGGnxAh8sKrK7D7F6","The Good, The Bad and The Queen","https://i.scdn.co/image/d436a86cb75c88bd255002669e34d8f45c8c96d9","album",FALSE,"2007-01-22",2007-01-22,55,"Herculean","5eyuiPhFR4TeguD3xjh4O6",5,1,0.477,0.749,"F",-6.093,"major",0.029,0.0458,0.786,0.0744,0.33,135.259,239190,4,"F major",44,"https://p.scdn.co/mp3-preview/56a9237980e83890e05cb9a6b23878c21680f081?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/5eyuiPhFR4TeguD3xjh4O6","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","5d8H2hGGnxAh8sKrK7D7F6","The Good, The Bad and The Queen","https://i.scdn.co/image/d436a86cb75c88bd255002669e34d8f45c8c96d9","album",FALSE,"2007-01-22",2007-01-22,55,"Kingdom Of Doom","4ptHRYPFdzn6FGxTNDI2Vi",4,1,0.462,0.723,"G",-4.987,"major",0.0285,0.103,0.000341,0.286,0.188,134.042,164013,4,"G major",41,"https://p.scdn.co/mp3-preview/14d116e31137341af149a82007d01825da25c49b?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/4ptHRYPFdzn6FGxTNDI2Vi","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"The Poison Tree","1QfeZxMrapvHtqYZhBfF9M",11,1,0.518,0.443,"A#",-13.19,"minor",0.0291,0.183,0.683,0.131,0.735,130.095,222652,4,"A# minor",46,"https://p.scdn.co/mp3-preview/9f446443abfaefa912ec74fccaed7f0850e6ff96?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/1QfeZxMrapvHtqYZhBfF9M","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"The Last Man to Leave","2Sjq9DiJFgrApHTa5L18Oz",10,1,0.457,0.491,"D",-8.458,"minor",0.0288,0.174,0,0.252,0.418,110.242,158319,3,"D minor",45,"https://p.scdn.co/mp3-preview/4adb1a727033e26119e58125a5d2b75b65b9df4a?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/2Sjq9DiJFgrApHTa5L18Oz","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Ribbons","5h5gzR6S2GavHM4hiQbHz8",9,1,0.383,0.363,"C",-10.205,"major",0.0282,0.742,0.672,0.132,0.259,129.418,172225,4,"C major",47,"https://p.scdn.co/mp3-preview/69a56b6296f55c3c2570728442e2b1c7ef48f350?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/5h5gzR6S2GavHM4hiQbHz8","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Drifters & Trawlers","7GgrpsAK3WazIeE70U1mco",7,1,0.718,0.486,"A",-11.891,"major",0.0325,0.0983,0.103,0.155,0.56,122.047,154865,4,"A major",47,"https://p.scdn.co/mp3-preview/4e6ef1bbb416609863075855ecf04caeee9408a5?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/7GgrpsAK3WazIeE70U1mco","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Lady Boston","58jd5SGscp68qlzq9iPYZh",6,1,0.55,0.562,"D#",-9.678,"major",0.0324,0.832,0.0896,0.102,0.561,134.12,259492,4,"D# major",48,"https://p.scdn.co/mp3-preview/da4237c49c60bf1916f79c6359faa732580aa8aa?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/58jd5SGscp68qlzq9iPYZh","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"The Great Fire","4QjYvkTRUmPQvpz19gZXSR",5,1,0.547,0.551,"A",-10.054,"minor",0.0341,0.169,0.00672,0.14,0.105,120.117,236145,4,"A minor",47,"https://p.scdn.co/mp3-preview/26f8ff71135a3e14fd953260241d04e9290a6cee?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/4QjYvkTRUmPQvpz19gZXSR","The Good, The Bad & The Queen"
