name_in,name_out
Electroforez,Электрофорез
Splean,Сплин
Sektor Gaza,Сектор газа
Samoe Bolshoe Prostoe Chislo,Самое большое простое число
Piknik,Пикник
Nol,Ноль
Nogu Svelo!,Ногу свело!
Nautilus Pompilius,Наутилус Помпилиус
Mumiy Troll,Мумий Тролль
Monetochka,монеточка
Leningrad,Ленинград
Krematorij,Крематорий
ISPANSKIJ STYD,ИСПАНСКИЙ СТЫД
Grazhdanskaya Oborona,Гражданская Оборона
Voskresenie,Воскресение
Bravo,Браво
Bi-2,Би-2
Auktyon,Аукцыон
Aquarium,Аквариум
Agatha Christie,Агата Kристи
Boris Grebenshchikov,Борис Гребенщиков
Boris Grebenshikov,Борис Гребенщиков
Affinage,Аффинаж
Alyans,Альянс
Auktsyon,Аукцыон
Diskoteka Avariya,Дискотека Авария
Kino,Кино
Korol i Shut,Король и Шут
Kurara,Курара
Mashina Vremeni,Машина Времени
Nochnye Snaipery,Ночные Снайперы
Obe Dve,Обе две
Petlya Pristrastiya,Петля Пристрастия
Televizor,Телевизор
U-Piter,Ю-Питер
Vyacheslav Butusov,Вячеслав Бутусов
Zemfira,Земфира
Zvuki Mu,Звуки Му
